id	name	city	zipcode	street	house_number	telephone	fax	email	website	longitude	latitude
9092146	2. Polizeirevier Neumünster	Neumünster	24539	Altonaer Straße	101	+49 4321 945-1202	+49 4321 945-1205	Neumuenster.PRev02@polizei.landsh.de		9.966029127405154	54.07609500173512
9092250	3. Polizeirevier Kiel	Kiel	24114	Von-der-Tann-Straße	34	+49 431 160-1310	+49 431 160-1319	Kiel.Prev03@polizei.landsh.de		10.123243886338098	54.31637046286201
9092407	3. Polizeirevier Lübeck	Lübeck, Hansestadt	23566	Meesenring	9	+49 451 131-6345	+49 451 131-6319	luebeck-prev03@polizei.landsh.de		10.719903265647932	53.865113206277854
9092804	4. Polizeirevier Kiel	Kiel	24143	Werftstraße	217	+49 431 160-1410	+49 431 160-1419	Kiel.Prev04@polizei.landsh.de		10.139483723164112	54.31080664144833
9092998	Kriminalpolizeistelle Bad Schwartau	Bad Schwartau	23611	Eutiner Ring	4	+49 451 220750	+49 451 2207518	badschwartau.kpst@polizei.landsh.de		10.695612432574459	53.92010588611225
9093028	Kriminalpolizeistelle Eckernförde	Eckernförde	24340	Schleswiger Straße	19	+49 4351 89212-600	+49 4351 89212-605	Eckernfoerde.KPSt@polizei.landsh.de		9.836552270297556	54.468819913013
9093041	Kriminalpolizeistelle Elmshorn	Elmshorn	25335	Moltkestraße	26	+49 4121 803-0	+49 4121 803-208	Elmshorn.KPSt@polizei.landsh.de		9.666249002136947	53.759136607778125
9093056	Kriminalpolizeistelle Geesthacht	Geesthacht	21502	Markt	11	+49 4152 80030	+49 4152 9886448590	Geesthacht.KPSt@polizei.landsh.de		10.374897940557043	53.430439815453326
9093069	Kriminalpolizeistelle Niebüll	Niebüll	25899	Gather Landstraße	75	+49 4661 4011-0	+49 431 9886443590	Niebuell.KPSt@polizei.landsh.de		8.842765554389464	54.79231542639093
9093082	Kriminalpolizeistelle Norderstedt	Norderstedt	22850	Europaallee	24	+49 40 52806-0	+49 40 52806-109	Norderstedt.KPSt@polizei.landsh.de		9.98733761152911	53.6851677391308
9093097	Kriminalpolizeistelle Oldenburg	Oldenburg in Holstein	23758	Hoheluftstraße	20	+49 4361 1055-0	+49 431 9886446693	oldenburg.kpst@polizei.landsh.de		10.87920730259374	54.29301518936885
9093112	Kriminalpolizeistelle Sylt	Sylt	25980	Stephanstraße	14	+49 4651 7047-0	+49 431 9886443595	Sylt.KPSt@polizei.landsh.de		8.3121553	54.90766688
